"Ano";"Mês";"IBGE2";"Cód índ";"Valor";"Critério"
2020;"Dezembro";10;2;0;"População dos 50 + Populosos"
2020;"Dezembro";10;3;0,150510436366765;"Área Geográfica"
2020;"Dezembro";10;4;0;"Educação"
2020;"Dezembro";10;5;0,0536817692600498;"Patrimônio Cultural"
2020;"Dezembro";10;6;0,0781298006923241;"Receita Própria"
2020;"Dezembro";10;11;0,117233294255569;"Cota Mínima"
2020;"Dezembro";10;12;0,020525;"Mineradores"
2020;"Dezembro";10;16;0,109667488809057;"Saúde per capita"
2020;"Dezembro";10;10;0,0325265451645364;"VAF"
2020;"Dezembro";10;22;0;"Esportes"
2020;"Dezembro";10;28;0;"Turismo"
2020;"Dezembro";10;26;0;"Penitenciárias"
2020;"Dezembro";10;27;0,619261880350862;"Recursos Hídricos"
2020;"Dezembro";10;9;0,13769534690563;"Produção de Alimentos"
2020;"Dezembro";10;30;0;"Unidades de Conservação (IC i)"
2020;"Dezembro";10;31;0;"Saneamento"
2020;"Dezembro";10;32;0;"Mata Seca"
2020;"Dezembro";10;8;0;"Meio Ambiente"
2020;"Dezembro";10;1;0,0331358395472538;"População"
2020;"Dezembro";10;15;0,0354672814328782;"PSF"
2020;"Dezembro";10;24;0,0368677006896883;"ICMS Solidário"
2020;"Dezembro";10;25;0;"Índice Mínimo per capita"
2020;"Dezembro";10;17;0,0411686300234467;"Índice de participação"
2020;"Dezembro";20;2;0;"População dos 50 + Populosos"
2020;"Dezembro";20;3;0,309243670784525;"Área Geográfica"
2020;"Dezembro";20;4;0,151187978219661;"Educação"
2020;"Dezembro";20;5;0,0767302397419112;"Patrimônio Cultural"
2020;"Dezembro";20;6;0,145866251707351;"Receita Própria"
2020;"Dezembro";20;11;0,117233294255569;"Cota Mínima"
2020;"Dezembro";20;12;0;"Mineradores"
2020;"Dezembro";20;16;0,0911094845367758;"Saúde per capita"
2020;"Dezembro";20;10;0,0578190465295073;"VAF"
2020;"Dezembro";20;22;0;"Esportes"
2020;"Dezembro";20;28;0;"Turismo"
2020;"Dezembro";20;26;0,224315889414264;"Penitenciárias"
2020;"Dezembro";20;27;0,0303102952898466;"Recursos Hídricos"
2020;"Dezembro";20;9;0,154193985194054;"Produção de Alimentos"
2020;"Dezembro";20;30;0;"Unidades de Conservação (IC i)"
2020;"Dezembro";20;31;0;"Saneamento"
2020;"Dezembro";20;32;0;"Mata Seca"
2020;"Dezembro";20;8;0;"Meio Ambiente"
2020;"Dezembro";20;1;0,110372002553912;"População"
2020;"Dezembro";20;15;0,106401844298635;"PSF"
2020;"Dezembro";20;24;0,122802440206057;"ICMS Solidário"
2020;"Dezembro";20;25;0;"Índice Mínimo per capita"
2020;"Dezembro";20;17;0,0713482800234467;"Índice de participação"
2020;"Dezembro";30;2;0;"População dos 50 + Populosos"
2020;"Dezembro";30;3;0,080162481807805;"Área Geográfica"
2020;"Dezembro";30;4;0;"Educação"
2020;"Dezembro";30;5;0,123368114196535;"Patrimônio Cultural"
2020;"Dezembro";30;6;0,081520942775792;"Receita Própria"
2020;"Dezembro";30;11;0,117233294255569;"Cota Mínima"
2020;"Dezembro";30;12;0;"Mineradores"
2020;"Dezembro";30;16;0,0765884621073505;"Saúde per capita"
2020;"Dezembro";30;10;0,0228922332153008;"VAF"
2020;"Dezembro";30;22;0,0417634621910156;"Esportes"
2020;"Dezembro";30;28;0,456881781838949;"Turismo"
2020;"Dezembro";30;26;0,173201477735267;"Penitenciárias"
2020;"Dezembro";30;27;0;"Recursos Hídricos"
2020;"Dezembro";30;9;0,0622290430052417;"Produção de Alimentos"
2020;"Dezembro";30;30;0;"Unidades de Conservação (IC i)"
2020;"Dezembro";30;31;0;"Saneamento"
2020;"Dezembro";30;32;0;"Mata Seca"
2020;"Dezembro";30;8;0;"Meio Ambiente"
2020;"Dezembro";30;1;0,06399513475384;"População"
2020;"Dezembro";30;15;0,106401844298635;"PSF"
2020;"Dezembro";30;24;0,0712024655459915;"ICMS Solidário"
2020;"Dezembro";30;25;0;"Índice Mínimo per capita"
2020;"Dezembro";30;17;0,0350009000234467;"Índice de participação"
2020;"Dezembro";40;2;0;"População dos 50 + Populosos"
2020;"Dezembro";40;3;0,0174289234544075;"Área Geográfica"
2020;"Dezembro";40;4;0,135108147944969;"Educação"
2020;"Dezembro";40;5;0,148462724404847;"Patrimônio Cultural"
2020;"Dezembro";40;6;0,0314120533888706;"Receita Própria"
2020;"Dezembro";40;11;0,117233294255569;"Cota Mínima"
2020;"Dezembro";40;12;0;"Mineradores"
2020;"Dezembro";40;16;0,142921648598484;"Saúde per capita"
2020;"Dezembro";40;10;0,00376511507501639;"VAF"
2020;"Dezembro";40;22;0,0151212535519195;"Esportes"
2020;"Dezembro";40;28;0;"Turismo"
2020;"Dezembro";40;26;0;"Penitenciárias"
2020;"Dezembro";40;27;0;"Recursos Hídricos"
2020;"Dezembro";40;9;0,0578114003292959;"Produção de Alimentos"
2020;"Dezembro";40;30;0;"Unidades de Conservação (IC i)"
2020;"Dezembro";40;31;0;"Saneamento"
2020;"Dezembro";40;32;0;"Mata Seca"
2020;"Dezembro";40;8;0;"Meio Ambiente"
